element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Fe	3	"851.5288"	"0.0020"	"851.5330"	"0.0017"	"120"	"3.12e+07"	B	"24.63019"	"26.08580"	"3d5.(6S).6p"	"7P*"	"3"	"3d5.(6S).6d"	"7D"	"2"		"u44"	"L1171"	
S	2	"851.5475"	"0.0010"	"851.5577"	"0.0010"	"8bl"	"2.10e+06"	C	"15.067641"	"16.523210"	"3s2.3p2.(1D).4s"	"2D"	"3/2"	"3s2.3p2.(3P).4p"	"2P*"	"1/2"		"T3186c85"	"L5883"	
Co	2	"851.5901"	"0.0004"	"851.5900"	"0.0004"	"91"	"3.5e+07"	C+	"10.61257253"	"12.0680869"	"3d7.(4F).5s"	"e 5F"	"2"	"3d7.(4F).5p"	"5G*"	"3"		"T6999"	"L9429c118"	
Ar	1	"852.1442"	"0.0010"	"852.1441"	"0.0010"	"15000"	"1.39e+07"	B	"11.82807116"	"13.28263902"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	"3s2.3p5.(2P*<1/2>).4p"	"2[3/2]"	"1"		"T5223"	"L2634"	
Fe	2	"852.25627"	"0.00005"	"852.25628"	"0.00008"	"150"	"6.2e+06"	B+	"11.1958510"	"12.6502274"	"3d6.(5D).5p"	"6F*"	"7/2"	"3d6.(5D).6s"	"6D"	"7/2"		"T6892c83"	"L18349c139"	
Fe	1	"852.66684"	"0.00022"	"852.66690"	"0.00010"	"500"	"1.77e+06"	C	"4.91297355"	"6.36664959"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"4"	"3d6.(5D).4s (4D).5s"	"g 5D"	"4"		"T5720"	"L11631"	
Co	2	"852.7669"	"0.0009"	"852.7663"	"0.0018"	"130"	"1.28e+07"	C+	"10.55944220"	"12.0129488"	"3d7.(4F).5s"	"e 5F"	"3"	"3d7.(4F).5p"	"5F*"	"2"		"T6999"	"L9429c118"	
Xe	1	"853.0100"	"0.0010"	"853.0104+"	"0.0010"	"30"	"7.90e+05"	B+	"9.8210940"	"11.2741847"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	"5p5.(2P*<3/2>).8s"	"2[3/2]*"	"1"		"T5818"	"L4739"	
Cd	2	""	""	"853.026+"	"0.010"	""	"3.64e+07"	B	"10.289530"	"11.742594"	"4d10.6s"	"2S"	"1/2"	"4d10.6p"	"2P*"	"1/2"		"T6585"	""	
Co	2	"853.39638"	"0.00016"	"853.39644"	"0.00022"	"1100"	"3.3e+07"	C+	"10.55944220"	"12.01187555"	"3d7.(4F).5s"	"e 5F"	"3"	"3d7.(4F).5p"	"5G*"	"4"		"T6999"	"L9429c118"	
V	1	"853.4369"	"0.0004"	"853.43665"	"0.00022"	"26000"	"8.2e+06"	C	"4.11073714"	"5.5631020"	"3d3.(4F).4s.4p.(1P*)"	"w 4F*"	"9/2"	"3d3.(4F).4s.(3F).5s"	"4F"	"9/2"		"u38"	"L15916"	
O	4	""	""	"853.445"	"0.010"	""	"1.89e+07"	B	"72.5011"	"73.9535"	"2s.2p.(3P*).4p"	"2D"	"5/2"	"2s.2p.(3P*).4d"	"2F*"	"7/2"		"T5109LS"	""	
Co	2	"853.853"	"0.003"	"853.8556"	"0.0006"	"61bl"	"2.9e+07"	C+	"10.7792048"	"12.2308572"	"3d7.(4F).5s"	"e 3F"	"2"	"3d7.(4F).5p"	"3D*"	"2"		"T6999"	"L9429c118"	
Ag	2	"854.10"	"0.22"	"854.187"	"0.005"	"220"	"2.5e+07"	C	"16.4800217"	"17.931111"	"4d9.(2D<5/2>).6p"	"2[5/2]*"	"2"	"4d9.(2D<5/2>).7s"	"2[5/2]"	"2"		"T9142"	"L647c114"	
V	1	"854.1972"	"0.0003"	"854.19714"	"0.00022"	"47000"	"1.13e+06"	C	"2.67846275"	"4.12953463"	"3d4.(1G2).4s"	"b 2G"	"9/2"	"3d3.(2G).4s.4p.(3P*)"	"y 2G*"	"9/2"		"T9282"	"L15916"	
Ca	2	"854.209"	"0.010"	"854.209"	"0.010"	"170"	"9.9e+06"	C	"1.699932"	"3.150984"	"3p6.3d"	"2D"	"5/2"	"3p6.4p"	"2P*"	"3/2"		"u7,LS"	"L7323"	
Mg	2	""	""	"854.322"	"0.010"	""	"8.70e+02"	C	"12.794766"	"14.245626"	"2p6.6s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"3/2"		"c31"	""	
La	1	"854.346"	"0.010"	"854.349+"	"0.007"	"17c*"	"3.4e+06"	C+	"1.2349947"	"2.685809"	"5d2.(1G).6s"	"2G"	"7/2"	"5d2.(3F).6p"	"2G*"	"7/2"		"T9460"	"L3475"	
Ne	1	"854.46952"	"0.00004"	"854.46958"	"0.00010"	"1600"	"1.22e+06"	C+	"18.57583601"	"20.02644523"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"1"		"T6976"	"L3451"	
Be	1	"854.7366"	"0.0020"	"854.737"	"0.003"	"9*"	"1.74e+06"	B	"7.303596"	"8.753751"	"1s2.2s.3p"	"3P*"	"0"	"1s2.2s.5d"	"3D"	"1"		"u28"	"L4743"	
Be	1	"854.7366"	"0.0020"	"854.737"	"0.003"	"9*"	"1.31e+06"	B	"7.303596"	"8.753751"	"1s2.2s.3p"	"3P*"	"1"	"1s2.2s.5d"	"3D"	"1"		"u28"	""	
Be	1	"854.7366"	"0.0020"	"854.7373"	"0.0022"	"9*"	"2.35e+06"	B	"7.303596"	"8.753751"	"1s2.2s.3p"	"3P*"	"1"	"1s2.2s.5d"	"3D"	"2"		"u28"	""	
Be	1	"854.7659"	"0.0020"	"854.764"	"0.003"	"11*"	"8.73e+04"	B	"7.303641"	"8.753751"	"1s2.2s.3p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"1"		"u28"	"L4743"	
Be	1	"854.7659"	"0.0020"	"854.7641"	"0.0022"	"11*"	"7.84e+05"	B	"7.303641"	"8.753751"	"1s2.2s.3p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"2"		"u28"	"L4743"	
Be	1	"854.7659"	"0.0020"	"854.7663"	"0.0022"	"11*"	"3.14e+06"	B	"7.303641"	"8.753747"	"1s2.2s.3p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"3"		"u28"	"L4743"	
Cl	3	""	""	"854.796"	"0.010"	""	"1.08e-01"	C	"2.246399"	"3.696455"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p3"	"2P*"	"1/2"	E2	"T761"	""	
Ba	1	"855.9998"	"0.0010"	"855.9998+"	"0.0010"	"700"	"2.0e+07"	C+	"1.4128433"	"2.8608594"	"6s.5d"	"1D"	"2"	"5d.6p"	"1D*"	"2"		"T5037"	"L9224"	
V	2	""	""	"856.2019"	"0.0005"	""	"5.7e-02"	C	"2.5569243"	"4.0045986"	"3d3.(2D2).4s"	"b 3D"	"3"	"3d4"	"d 3P1"	"1"	E2	"T9770"	""	
Fe	3	"856.3490"	"0.0020"	"856.3472"	"0.0022"	"710"	"9.29e+07"	B	"24.64027"	"26.08770"	"3d5.(6S).6p"	"7P*"	"4"	"3d5.(6S).6d"	"7D"	"5"		"u44"	"L1171"	
Mn	2	"856.5817"	"0.0006"	"856.5818"	"0.0006"	"60"	"2.5e+07"	C	"10.6697857"	"12.1168179"	"3d5.(6S).5p"	"x 7P*"	"4"	"3d5.(6S).6s"	"7S"	"3"		"c88"	"L562"	
N	2	""	""	"856.662"	"0.010"	""	"3.16e+05"	C+	"25.133348"	"26.580245"	"2s2.2p.4p"	"3D"	"1"	"2s2.2p.5s"	"3P*"	"2"		"T5520LS"	""	
N	1	"856.774"	"0.010"	"856.7735"	"0.0010"	"500"	"4.86e+06"	B+	"10.6796703"	"12.1263787"	"2s2.2p2.(3P).3s"	"2P"	"1/2"	"2s2.2p2.(3P).3p"	"2P*"	"3/2"		"T7370"	"L3513"	
Fe	3	"856.8419"	"0.0020"	"856.8389"	"0.0017"	"190"	"3.48e+07"	B	"24.64027"	"26.08687"	"3d5.(6S).6p"	"7P*"	"4"	"3d5.(6S).6d"	"7D"	"4"		"u44"	"L1171"	
Ne	1	"857.13535"	"0.00004"	"857.13524"	"0.00010"	"2900"	"3.15e+06"	C+	"18.69335943"	"20.13945733"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"1"		"T6976"	"L3451"	
Fe	2	""	""	"857.48543"	"0.00018"	""	"4.82e-02"	C	"2.52186911"	"3.96737644"	"3d7"	"a 2H"	"11/2"	"3d7"	"b 2F"	"7/2"	E2	"T8961"	""	
Xe	1	"857.6010"	"0.0010"	"857.6022+"	"0.0010"	"200"	"5.28e+06"	B	"9.5697254"	"11.0150359"	"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"1"	"5p5.(2P*<3/2>).7p"	"2[1/2]"	"0"		"T8608n,T6672"	"L4739"	
Cl	2	""	""	"857.870"	"0.010"	""	"1.03e-01"	C	"0.000000"	"1.444860"	"3s2.3p4"	"3P"	"2"	"3s2.3p4"	"1D"	"2"	M1	"T335,T761"	""	
Fe	5	""	""	"857.90"	"0.05"	""	"1.74e-01"	B	"3.09122"	"4.53604"	"3d4"	"3H"	"4"	"3d4"	"1G2"	"4"	M1	"T9277"	""	
Co	2	"858.15349"	"0.00015"	"858.15354"	"0.00012"	"1600"	"3.5e+07"	C+	"10.48743503"	"11.93181697"	"3d7.(4F).5s"	"e 5F"	"4"	"3d7.(4F).5p"	"3G*"	"5"		"T6999"	"L9429c118"	
C	3	""	""	"858.208"	"0.010"	""	"2.08e+06"	C+	"44.491732"	"45.9360"	"1s2.2s.6f"	"3F*"	"2"	"1s2.2s.8d"	"3D"	"1"		"T5633LS"	""	
C	3	""	""	"858.208"	"0.010"	""	"2.32e+05"	C+	"44.491732"	"45.9360"	"1s2.2s.6f"	"3F*"	"2"	"1s2.2s.8d"	"3D"	"2"		"T5633LS"	""	
C	3	""	""	"858.208"	"0.010"	""	"4.67e+03"	C	"44.491732"	"45.9360"	"1s2.2s.6f"	"3F*"	"2"	"1s2.2s.8d"	"3D"	"3"		"T5633LS"	""	
Fe	1	"858.22568"	"0.00022"	"858.22581"	"0.00010"	"710"	"7.40e+04"	C	"2.99035244"	"4.43461275"	"3d6.4s2"	"b 3G"	"4"	"3d7.(4F).4p"	"z 3G*"	"4"		"T5720"	"L11631"	
C	3	""	""	"858.231"	"0.010"	""	"1.85e+06"	C+	"44.491769"	"45.9360"	"1s2.2s.6f"	"3F*"	"3"	"1s2.2s.8d"	"3D"	"2"		"T5633LS"	""	
C	3	""	""	"858.231"	"0.010"	""	"1.66e+05"	C+	"44.491769"	"45.9360"	"1s2.2s.6f"	"3F*"	"3"	"1s2.2s.8d"	"3D"	"3"		"T5633LS"	""	
C	3	""	""	"858.262"	"0.010"	""	"1.91e+06"	C+	"44.491821"	"45.9360"	"1s2.2s.6f"	"3F*"	"4"	"1s2.2s.8d"	"3D"	"3"		"T5633LS"	""	
Ne	1	"858.29031"	"0.00009"	"858.29028"	"0.00010"	"1600"	"1.04e+06"	B	"18.69335943"	"20.13751125"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"2"		"T8378"	"L9097"	
Fe	2	"858.54403"	"0.00012"	"858.54369"	"0.00004"	"60"	"3.8e+06"	C+	"11.2065018"	"12.6502274"	"3d6.(5D).5p"	"6F*"	"9/2"	"3d6.(5D).6s"	"6D"	"7/2"		"T6892c83"	"L18349c139"	
La	1	""	""	"858.809+"	"0.010"	""	"1.26e+07"	C+	"2.328004"	"3.771284&dagger;"	"5d3"	"2D2"	"5/2"	"4f.5d.(3P*).6s"	"4P*"	"3/2"		"T9460"	""	
Ne	1	"859.12583"	"0.00004"	"859.12584"	"0.00010"	"41000"	"3.11e+07"	B+	"18.69335943"	"20.13610672"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"2"		"T6976"	"L3451"	
N	1	"859.400"	"0.010"	"859.4000"	"0.0010"	"570"	"2.09e+07"	B+	"10.6796703"	"12.1219574"	"2s2.2p2.(3P).3s"	"2P"	"1/2"	"2s2.2p2.(3P).3p"	"2P*"	"1/2"		"T7370"	"L3513"	
Fe	1	"859.88297"	"0.00022"	"859.88280"	"0.00010"	"490"	"6.69e+05"	B	"4.38646275"	"5.82793998"	"3d7.(4F).4p"	"z 3G*"	"5"	"3d7.(4F).5s"	"e 5F"	"5"		"T5720"	"L11631"	
Fe	2	""	""	"860.04854"	"0.00016"	""	"1.090e-01"	C+	"2.63486052"	"4.07605998"	"3d6.(3H).4s"	"a 4H"	"13/2"	"3d6.(1I).4s"	"a 2I"	"13/2"	M1	"T8961"	""	
Co	2	"860.27447"	"0.00024"	"860.27542"	"0.00022"	"820"	"3.2e+07"	C+	"10.70562701"	"12.1464464"	"3d7.(4F).5s"	"e 3F"	"3"	"3d7.(4F).5p"	"3F*"	"3"		"T6999"	"L9429c118"	
N	2	""	""	"860.433"	"0.010"	""	"4.67e+06"	C+	"25.139688"	"26.580245"	"2s2.2p.4p"	"3D"	"2"	"2s2.2p.5s"	"3P*"	"2"		"T5520LS"	""	
F	1	"860.447"	"0.003"	"860.445+"	"0.010"	"14"	"8.5e+04"	C	"14.504588"	"15.945123"	"2s2.2p4.(3P).3p"	"4D*"	"7/2"	"2s2.2p4.(3P).3d"	"4P"	"5/2"		"T7043"	"L7481"	
Ar	1	"860.5776"	"0.0010"	"860.5776"	"0.0010"	"7"	"1.04e+06"	C	"13.30222747"	"14.74254085"	"3s2.3p5.(2P*<1/2>).4p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<3/2>).4d"	"2[3/2]*"	"2"		"T1218n"	"L2634"	
Cu	2	"860.6681"	"0.0010"	"860.66732"	"0.00012"	"690"	"7.9e+06"	B	"13.68365916"	"15.12382247"	"3d9.(2D<3/2>).5s"	"2[3/2]"	"2"	"3d8.(3F).4s.4p.(3P*)"	"1D*"	"2"		"T7181"	"L869c171"	
Fe	1	"861.18034"	"0.00022"	"861.18033"	"0.00010"	"4680"	"1.27e+06"	C+	"2.84504259"	"4.28434800"	"3d7.(4P).4s"	"b 3P"	"1"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"0"		"T5720"	"L11631"	
O	3	""	""	"861.605"	"0.010"	""	"4.01e+04"	C	"45.477729"	"46.916325"	"2s2.2p.(2P*).4p"	"3D"	"3"	"2s.2p2.(4P).3p"	"3P*"	"2"		"T5376LS"	""	
Fe	2	"861.6950"	""	"861.69498"	"0.00007"	":"	"3.20e-02"	C+	"0.23217279"	"1.67061856"	"3d7"	"a 4F"	"9/2"	"3d7"	"a 4P"	"5/2"	E2	"T9588,T10588c104"	"L22760"	
Ar	1	""	""	"862.0460"	"0.0010"	""	"9.2e+05"	C	"13.27303810"	"14.71089810"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"0"	"3s2.3p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"		"T1218n"	""	
Si	3	""	""	"862.146"	"0.010"	""	"2.56e+06"	C	"30.055220"	"31.492914"	"3s.6f"	"3F*"	"4"	"3s.8d"	"3D"	"3"		"T6298c4,LS"	""	
Si	3	""	""	"862.4"	"1.0"	""	"2.47e+06"	C	"30.055167"	"[31.4925]"	"3s.6f"	"3F*"	"3"	"3s.8d"	"3D"	"2"		"T6298c4,LS"	""	
La	1	"862.422"	"0.010"	"862.426+"	"0.007"	"7h"	"3.40e+05"	C	"0.8693659"	"2.306592"	"5d2.(3F).6s"	"2F"	"5/2"	"5d2.(3F).6p"	"4G*"	"7/2"		"T9460"	"L3475"	
Xe	1	"862.4240"	"0.0010"	"862.4216+"	"0.0011"	"80"	"1.06e+06"	B+	"9.8210940"	"11.2583279"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	"5p5.(2P*<3/2>).8s"	"2[3/2]*"	"2"		"T5818"	"L4739"	
V	1	"862.4741"	"0.0005"	"862.47291"	"0.00015"	"15000"	"1.1e+07"	C	"4.11073714"	"5.5478855"	"3d3.(4F).4s.4p.(1P*)"	"w 4F*"	"9/2"	"3d3.4s.(5F).4d"	"4G"	"11/2"		"u38"	"L15916"	
Si	3	""	""	"862.5"	"1.0"	""	"2.79e+06"	C	"30.055119"	"[31.4922]"	"3s.6f"	"3F*"	"2"	"3s.8d"	"3D"	"1"		"T6298c4,LS"	""	
S	14	""	""	"863+"	"11"	""	"2.32e+06"	B+	"538.709"	"540.146"	"1s2.4p"	"2P*"	"1/2"	"1s2.4d"	"2D"	"3/2"		"T5118c63,LS"	""	
N	1	"862.924"	"0.010"	"862.9235"	"0.0010"	"650"	"2.67e+07"	B+	"10.6899808"	"12.1263787"	"2s2.2p2.(3P).3s"	"2P"	"3/2"	"2s2.2p2.(3P).3p"	"2P*"	"3/2"		"T7370"	"L3513"	
Co	2	"863.23471"	"0.00016"	"863.2346"	"0.0003"	"1300"	"3.4e+07"	C+	"10.59837869"	"12.03425891"	"3d7.(4F).5s"	"e 3F"	"4"	"3d7.(4F).5p"	"3F*"	"4"		"T6999"	"L9429c118"	
Ca	3	"863.277"	"0.004"	"863.272"	"0.004"	"50"	"7.1e+06"	B	"34.635437"	"36.071256"	"3s2.3p5.3d"	"1P*"	"1"	"3s2.3p5.4p"	"1S"	"0"		"T7942"	"L1405"	
S	1	"863.323"	"0.010"	"863.312"	"0.010"	"4"	"1.13e+07"	C	"8.4092516"	"9.845002"	"3s2.3p3.(2D*).4s"	"3D*"	"2"	"3s2.3p3.(2D*).4p"	"3P"	"1"		"T7952"	"L7444,L7427"	
Ne	1	"863.46472"	"0.00004"	"863.46470"	"0.00010"	"35000"	"2.27e+07"	B+	"18.61270528"	"20.04820289"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"2"		"T6976"	"L3451"	
Ne	1	"863.53177"	"0.00010"	"863.53175"	"0.00010"	"740"	"7.90e+05"	C+	"18.70407118"	"20.13945733"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"1"		"T6976"	"L9097"	
La	1	"863.847"	"0.010"	"863.847+"	"0.008"	"15"	"1.36e+06"	C+	"1.0471760"	"2.482038"	"5d2.(1D).6s"	"2D"	"3/2"	"5d.6s.(1D).6p"	"*"	"3/2"		"T9460"	"L3475"	
Br	1	"863.8660"	"0.0020"	"863.867+"	"0.011"	"20000"	"2.2e+07"	C+	"7.865117"	"9.299947"	"4s2.4p4.(3P<2>).5s"	"2[2]"	"5/2"	"4s2.4p4.(3P<2>).5p"	"2[2]*"	"3/2"		"T6936n,T9382"	"L351"	
Al	2	"864.0705"	"0.0010"	"864.070"	"0.010"	"100"	"3.00e+07"	A+	"11.821968"	"13.256460"	"3s.4s"	"1S"	"0"	"3s.4p"	"1P*"	"1"		"c47,u24"	"L4575"	
Eu	1	"864.267"	"0.010"	"864.269+"	"0.011"	"21cw"	"4.6e+06"	B	"2.411144"	"3.845305"	"4f7.(8S*).5d (7D*).6s"	"b 8D*"	"11/2"	"4f7.(8S*).5d (9D*).6p"	"z 8D"	"11/2"		"T7356"	"L7586,L3475"	
V	1	"864.4126"	"0.0004"	"864.41288"	"0.00018"	"11000"	"1.1e+07"	C	"4.09009550"	"5.52401851"	"3d3.(4F).4s.4p.(1P*)"	"w 4F*"	"7/2"	"3d3.4s.(5F).4d"	"4G"	"9/2"		"u38"	"L15916"	
V	1	"864.704"	"0.002"	"864.70619"	"0.00018"	"450000bl(Ne)*"	"9.5e+06"	C	"4.07248690"	"5.5059235"	"3d3.(4F).4s.4p.(1P*)"	"w 4F*"	"5/2"	"3d3.4s.(5F).4d"	"4G"	"7/2"		"u38"	"L15916"	
Ne	1	"864.70412"	"0.00009"	"864.70411"	"0.00010"	"6000"	"3.99e+06"	B+	"18.70407118"	"20.13751125"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"2"		"T8378"	"L9097"	
V	1	"864.8151"	"0.0005"	"864.81488"	"0.00022"	"1400*"	"1.2e+07"	C	"4.0590108"	"5.4922673"	"3d3.(4F).4s.4p.(1P*)"	"w 4F*"	"3/2"	"3d3.4s.(5F).4d"	"4G"	"5/2"		"u38"	"L15916"	
Si	1	"864.8462"	"0.0010"	"864.847"	"0.010"	"50"	"9.12e+06"	C	"6.206004"	"7.639208"	"3s2.3p.3d"	"3F*"	"4"	"3s2.3p.(2P*<3/2>).5f"	"2[9/2]"	"5"		"T6066LS'"	"L3521"	
Na	1	"864.992"	"0.002"	"864.9931"	"0.0015"	"7"	"2.25e+05"	B+	"3.1913531"	"4.6243143"	"2p6.4s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"3/2"		"c30"	"L6096"	
Co	2	"864.995"	"0.004"	"864.9963"	"0.0009"	"16"	"1.36e+07"	C+	"10.61257253"	"12.0455285"	"3d7.(4F).5s"	"e 5F"	"2"	"3d7.(4F).5p"	"5F*"	"1"		"T6999"	"L4687c119"	
Na	7	""	""	"865"	"11"	""	"6.07e+06"	B+	"160.548"	"161.982"	"2s2.4s"	"2S"	"1/2"	"2s.2p.(1P*).3d"	"2P*"	"1/2"		"T7192c3,LS"	""	
Na	7	""	""	"865"	"11"	""	"6.06e+06"	A	"160.548"	"161.982"	"2s2.4s"	"2S"	"1/2"	"2s.2p.(1P*).3d"	"2P*"	"3/2"		"T7192c3,LS"	""	
Na	1	"865.089"	"0.002"	"865.0897"	"0.0015"	"6"	"2.21e+05"	B+	"3.1913531"	"4.6241543"	"2p6.4s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"1/2"		"c30"	"L6096"	
C	3	""	""	"865.214"	"0.010"	""	"1.72e+05"	B	"42.836115"	"44.268711"	"1s2.2s.5d"	"3D"	"1"	"1s2.2s.6p"	"3P*"	"2"		"T5633LS"	""	
C	3	""	""	"865.225"	"0.010"	""	"2.58e+06"	B	"42.836134"	"44.268711"	"1s2.2s.5d"	"3D"	"2"	"1s2.2s.6p"	"3P*"	"2"		"T5633LS"	""	
C	3	""	""	"865.257"	"0.010"	""	"1.45e+07"	B	"42.836187"	"44.268711"	"1s2.2s.5d"	"3D"	"3"	"1s2.2s.6p"	"3P*"	"2"		"T5633LS"	""	
C	3	""	""	"865.293"	"0.010"	""	"4.30e+06"	B	"42.836115"	"44.268579"	"1s2.2s.5d"	"3D"	"1"	"1s2.2s.6p"	"3P*"	"1"		"T5633LS"	""	
N	3	""	""	"865.293"	"0.010"	""	"8.45e+05"	B	"43.82105"	"45.25351"	"2s.2p.(1P*).3s"	"2P*"	"1/2"	"2s2.8s"	"2S"	"1/2"		"T7192LS"	""	
C	3	""	""	"865.305"	"0.010"	""	"1.29e+07"	B	"42.836134"	"44.268579"	"1s2.2s.5d"	"3D"	"2"	"1s2.2s.6p"	"3P*"	"1"		"T5633LS"	""	
C	3	""	""	"865.353"	"0.010"	""	"1.72e+07"	B	"42.836115"	"44.268481"	"1s2.2s.5d"	"3D"	"1"	"1s2.2s.6p"	"3P*"	"0"		"T5633LS"	""	
N	3	""	""	"865.436"	"0.010"	""	"1.69e+06"	B	"43.82129"	"45.25351"	"2s.2p.(1P*).3s"	"2P*"	"3/2"	"2s2.8s"	"2S"	"1/2"		"T7192LS"	""	
Ne	1	"865.43828"	"0.00009"	"865.43831"	"0.00010"	"64000"	"4.06e+07"	B+	"18.70407118"	"20.13629519"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"3"		"T6976"	"L9097"	
Ne	1	"865.55220"	"0.00009"	"865.55221"	"0.00010"	"7600"	"4.81e+06"	B	"18.70407118"	"20.13610672"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"2"		"T6976"	"L9097"	
N	1	""	""	"865.5748"	"0.0010"	""	"5.46e+06"	C	"12.3566901"	"13.7886883"	"2s2.2p2.(1D).3s"	"2D"	"5/2"	"2s2.2p2.(3P).5p"	"2P*"	"3/2"		"u18,LS"	""	
B	2	""	""	"865.58"	"0.07"	""	"6.5e+06"	C	"22.52505"	"23.95703"	"1s2.2p.3s"	"3P*"	"2"	"1s2.2p.3p"	"3S"	"1"		"u27,LS"	""	
N	1	"865.589"	"0.010"	"865.5878"	"0.0010"	"500"	"1.07e+07"	B+	"10.6899808"	"12.1219574"	"2s2.2p2.(3P).3s"	"2P"	"3/2"	"2s2.2p2.(3P).3p"	"2P*"	"1/2"		"T7370"	"L3513"	
Mg	8	""	""	"865.6"	"1.0"	""	"6.60e+03"	C	"209.590?"	"211.022?"	"2p2.(1D).3p"	"2F*"	"5/2"	"2p2.(3P).3d"	"2F"	"7/2"		"T7192c4,LS"	""	
N	1	""	""	"865.6112"	"0.0010"	""	"6.06e+05"	C	"12.3567502"	"13.7886883"	"2s2.2p2.(1D).3s"	"2D"	"3/2"	"2s2.2p2.(3P).5p"	"2P*"	"3/2"		"u18,LS"	""	
N	2	""	""	"866.045"	"0.010"	""	"7.64e+06"	C+	"25.133348"	"26.564568"	"2s2.2p.4p"	"3D"	"1"	"2s2.2p.5s"	"3P*"	"1"		"T5520LS"	""	
Fe	1	"866.18994"	"0.00023"	"866.18993"	"0.00011"	"20900"	"5.16e+05"	C+	"2.22271209"	"3.65369332"	"3d7.(4P).4s"	"a 5P"	"1"	"3d6.(5D).4s.4p.(3P*)"	"z 5P*"	"2"		"T5720"	"L11631"	
Ca	2	"866.214"	"0.010"	"866.214"	"0.010"	"160"	"1.06e+07"	C	"1.692408"	"3.123349"	"3p6.3d"	"2D"	"3/2"	"3p6.4p"	"2P*"	"1/2"		"u7,LS"	"L7323"	
N	1	""	""	"866.439"	"0.010"	""	"1.63e+05"	C	"11.6026335"	"13.0332041"	"2s2.2p2.(3P).3p"	"2S*"	"1/2"	"2s2.2p2.(3P).3d"	"2D"	"3/2"		"T7370"	""	
N	1	""	""	"866.6935"	"0.0010"	""	"6.04e+06"	C	"12.3567502"	"13.7869000"	"2s2.2p2.(1D).3s"	"2D"	"3/2"	"2s2.2p2.(3P).5p"	"2P*"	"1/2"		"u18,LS"	""	
B	1	"866.7223"	"0.0010"	"866.7227"	"0.0007"	"4"	"1.84e+06"	B	"6.0271033"	"7.4572049"	"2s2.3p"	"2P*"	"1/2"	"2s2.5s"	"2S"	"1/2"		"T7192"	"L776"	
O	4	""	""	"866.764"	"0.010"	""	"1.20e+06"	B	"72.5011"	"73.9312"	"2s.2p.(3P*).4p"	"2D"	"5/2"	"2s.2p.(3P*).4d"	"2F*"	"5/2"		"T5109LS"	""	
Ar	1	"866.7944"	"0.0010"	"866.7943"	"0.0010"	"4500"	"2.43e+06"	B	"11.72316039"	"13.15314387"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"0"	"3s2.3p5.(2P*<3/2>).4p"	"2[3/2]"	"1"		"T5223"	"L2634"	
S	1	"866.849"	"0.010"	"866.844"	"0.010"	"3"	"1.20e+07"	C	"8.4114435"	"9.841345"	"3s2.3p3.(2D*).4s"	"3D*"	"3"	"3s2.3p3.(2D*).4p"	"3P"	"2"		"T7952"	"L7444,L7427"	
